007;007-01;;
1001 Crew;1001-01;;
1001 Crew;1001-02;;
1001 Crew;1001-03;;
1001 Crew;1001-04;;
1001 Crew;1001-05;;
1001 Crew;1001-06;;
1001 Crew;1001-07;;
1001 Crew;1001-08;;
1001 Crew;1001-09;;
1001 Crew;1001-10;;
1001 Crew;1001-11;;
1001 Crew;1001-12;;
1001 Crew;1001-13;;
1001 Crew;1001-14;;
1001 Crew;1001-15;;
1001 Crew+Future Projects;1001_fp-01;;
The 1001 Crew+Stars;1001_stars-01;;
The 1200 Club;1200club-01;;
1404;1404-01;;
The 1541 Duo;1541duo-01;;
MCMXCIX [1999];1999-01;;
2000 A.D.;2000ad-01;;
2000 A.D.;2000ad-02;2000;
2000 A.D.;2000ad-03;;
2000 A.D.;2000ad-04;;
2000 A.D.;2000ad-05;;
2000 A.D.;2000ad-06;;
2000 A.D.;2000ad-07;;
2000 A.D.;2000ad-08;;
2000 A.D.;2000ad-09;;
2000 A.D.;2000ad-10;;
2000 A.D.+Jewels;2000ad_jewels-01;;
2703 Group;2703-01;;
2703 Group;2703-02;;
2703 Group;2703-03;;
Two Live Crew [2LC];2lc-01;;
3001 Crackings Unlimited;3001-01;;
Triple C;3c-01;;
The Third Dimension [T3D];3d-01;;
3D [Dator Destruction Department];3d-02;;
3D [Dator Destruction Department];3d-03;;
3D [Dator Destruction Department];3d-04;;
3D [Dator Destruction Department];3d-05;;
3lux;3lux-01;;
3lux;3lux-02;;
3lux;3lux-03;;
3lux;3lux-04;;
3lux;3lux-05;;
3rd Bass;3rdbass-01;;
407;407-01;;
407;407-02;;
4711;4711-01;;
4711;4711-02;;
4712;4712-01;;
4712;4712-02;;
4712;4712-03;;
Fantastic 4 Cracking Group+5211;5211-01;07.10.87;
5211;5211-02;;
5211;5211-03;;
5211;5211-04;;
5211;5211-05;;
6581 Crew;6581-01;;
Zeen 666;666-01;;
69'ers;69ers-01;;
701 Crackings;701-01;;
Seven Eleven [7-11];711-01;;
Seven Eleven [7-11];711-02;;
Seven Eleven [7-11];711-03;;
Seven Eleven [7-11];711-04;;
Seven Eleven [7-11];711-05;;
Seven Eleven [7-11];711-06;;
Seven Eleven [7-11];711-07;;
Seven Eleven [7-11];711-08;;
Seven Eleven [7-11];711-09;;
Seven Eleven [7-11];711-10;;
Seven Eleven [7-11];711-11;;
Seven Eleven [7-11];711-12;;
Seven Eleven [7-11];711-13;;
Seven Eleven [7-11];711-14;;
Seven Eleven [7-11];711-15;;
Seven Eleven [7-11];711-16;;
Seven Eleven [7-11];711-17;;
Seven Eleven (Rebuilt) [7-11];711_new-01;;
Seven Eleven (Rebuilt) [7-11];711_new-02;;
Army+A-Team;a_a-01;;
Army+A-Team;a_a-02;;
Army+A-Team;a_a-03;;
Army+A-Team;a_a-04;;
Army+A-Team;a_a-05;;
Army+A-Team;a_a-06;;
Above and Beyond [AAB];aab-01;;
Abandoneds [ABS];abandoneds-01;;
Abary;abary-01;;
Abary;abary-02;;
Abase;abase-01;;
Abase;abase-02;;
Advanced Breaking Crew [ABC];a_b_c-01;;
The Legendary ABC;abc-01;;
The Legendary ABC;abc-02;;
ABC Crackings;abc-03;;
ABC Crackings;abc-04;1985;
ABC Crackings;abc-05;;
ABC Crackings;abc-06;;
ABC Crackings;abc-07;;
ABC Crackings;abc-08;;
ABC Crackings;abc-09;;
ABC Crackings;abc-10;12-05-1985;
ABC Crackings;abc-11;;
ABC Crackings;abc-12;;
ABC Crackings;abc-13;;
Abstract+Dynamix;abs_dyn-01;;
Abstract+Dynamix;abs_dyn-02;;
Abstract+Dynamix;abs_dyn-03;;
Abstract+Dynamix;abs_dyn-04;;
Abstract;abstract-01;;
Abstract;abstract-02;;
Abstract;abstract-03;;
Abstract;abstract-04;;
Abstract;abstract-05;;
Abyss;abyss-01;1988;
Abyss;abyss-02;;
Abyss;abyss-03;5-18-1988;
Abyss;abyss-04;09/09/87;
Abyss;abyss-05;;
Abyss;abyss-06;;
Abyss;abyss-07;;
Abyss;abyss-08;;
Abyss;abyss-09;;
Abyss;abyss-10;;
Abyss;abyss-11;;
Abyss (DE);abyss_de-01;;
Abyss (DE);abyss_de-02;;
Abyss (DE);abyss_de-03;;
Abyss (DE);abyss_de-04;;
The Austria Crew [TAC];ac-01;;
Austrian Cracking Crew [ACC];a_c_c-01;;
Frema Cracking Crew [FCC];acc-01;1992;
Austrian Cracking Crew [ACC];a_c_c-02;;
Active Cracking Crew [ACC];acc-02;;
Austrian Cracking Crew [ACC];a_c_c-03;;
Active Cracking Crew [ACC];acc-03;1987;
Active Cracking Crew [ACC];acc-04;;
Active Cracking Crew [ACC];acc-05;2/6/87;
Active Cracking Crew [ACC];acc-06;1992;
Active Cracking Crew [ACC];acc-07;;
Active Cracking Crew [ACC];acc-08;;
Active Cracking Crew [ACC];acc-09;;
Active Cracking Crew [ACC];acc-10;;
Active Cracking Crew [ACC];acc-11;;
Accept [ACP] (DE);accept-01;;
Accept [ACP] (DE);accept-02;;
Accept [ACP] (DE);accept-03;;
Accept [ACP] (DE);accept-04;;
